Place,Indicator,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Andalucia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,,,,,,,,"310,465","357,813","465,765",
Andalucia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,,,,,,,,"83,555","182,912","181,391",
Andalucia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of beverages,,,,,,,,"82,232","147,308","140,282",
Andalucia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,,,,,,,,"135,437","120,853","138,779",
Andalucia,Gross Investment in Tangible Goods (Million Euro) in Manufacture of other non-metallic mineral products,,,,,,,,"71,157","100,687","102,507",
Andalucia,"Employment (Number, FTE) in Manufacture of food products",,,,,,,,"46,303","47,059","49,283",
Andalucia,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"21,132","21,406","22,231",
Andalucia,"Employment (Number, FTE) in Repair and installation of machinery and equipment",,,,,,,,"10,711","14,128","15,379",
Andalucia,"Employment (Number, FTE) in Manufacture of other non-metallic mineral products",,,,,,,,"10,449","10,871","11,143",
Andalucia,"Employment (Number, FTE) in Manufacture of other transport equipment",,,,,,,,"9,153","8,908","9,665",
Andalucia,"Employment (Number, FTE) in Manufacture of furniture",,,,,,,,"8,565","8,963","9,347",
Andalucia,Firms (Number) in Manufacture of food products,,,,,,,,"5,164","5,215","5,854",
Andalucia,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"4,813","4,767","4,911",
Andalucia,Firms (Number) in Manufacture of furniture,,,,,,,,"2,035","2,074","2,132",
Andalucia,Firms (Number) in Manufacture of other non-metallic mineral products,,,,,,,,"1,745","1,724","1,817",
Andalucia,Firms (Number) in Other manufacturing,,,,,,,,"1,825","1,776","1,806",
Andalucia,Firms (Number) in Repair and installation of machinery and equipment,,,,,,,,"1,285","1,581","1,787",
Madrid,Firms (Number) in Printing and reproduction of recorded media,,,,,,,,"3,018","2,842","3,154",
Madrid,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"2,999","3,110","3,069",
